open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1753228800000,0.6319000,0.6324000,0.6291000,0.6297000,106346,1753228859999,67000.6185000,417,61700,38880.8912000,0
1753228860000,0.6298000,0.6303000,0.6280000,0.6288000,71893,1753228919999,45237.1631000,287,29938,18848.5808000,0
1753228920000,0.6290000,0.6292000,0.6274000,0.6274000,50046,1753228979999,31427.2360000,219,4247,2668.6127000,0
1753228980000,0.6274000,0.6278000,0.6260000,0.6265000,33056,1753229039999,20724.1837000,218,11911,7469.3487000,0
1753229040000,0.6265000,0.6265000,0.6250000,0.6256000,30658,1753229099999,19184.6889000,176,3084,1929.3836000,0
1753229100000,0.6257000,0.6259000,0.6250000,0.6256000,42137,1753229159999,26359.8808000,139,15566,9736.4387000,0
1753229160000,0.6255000,0.6267000,0.6250000,0.6259000,39084,1753229219999,24467.8876000,129,24965,15631.9202000,0
1753229220000,0.6258000,0.6262000,0.6247000,0.6247000,41566,1753229279999,25997.9569000,174,3905,2443.4691000,0
1753229280000,0.6247000,0.6247000,0.6232000,0.6234000,111265,1753229339999,69380.4670000,231,50364,31394.3155000,0
1753229340000,0.6235000,0.6246000,0.6230000,0.6240000,22418,1753229399999,13979.6737000,140,7086,4420.2396000,0
1753229400000,0.6239000,0.6242000,0.6231000,0.6238000,12215,1753229459999,7617.8773000,78,2656,1657.0123000,0
1753229460000,0.6237000,0.6239000,0.6224000,0.6224000,23539,1753229519999,14666.7922000,138,3902,2432.2776000,0
1753229520000,0.6224000,0.6225000,0.6210000,0.6211000,51883,1753229579999,32261.3390000,295,18414,11447.6935000,0
1753229580000,0.6210000,0.6223000,0.6207000,0.6218000,73429,1753229639999,45630.9091000,144,10726,6663.5784000,0
1753229640000,0.6219000,0.6226000,0.6215000,0.6220000,24880,1753229699999,15482.2103000,105,17659,10989.6720000,0
1753229700000,0.6222000,0.6236000,0.6216000,0.6216000,30580,1753229759999,19033.6873000,165,10479,6524.5214000,0
1753229760000,0.6216000,0.6233000,0.6210000,0.6227000,24913,1753229819999,15489.7076000,98,8068,5019.6624000,0
1753229820000,0.6228000,0.6251000,0.6220000,0.6247000,59225,1753229879999,36926.9689000,195,35821,22341.6874000,0
1753229880000,0.6249000,0.6254000,0.6244000,0.6249000,17802,1753229939999,11126.6019000,73,9636,6022.6809000,0
1753229940000,0.6248000,0.6248000,0.6229000,0.6233000,8040,1753229999999,5016.0349000,71,1716,1069.7648000,0
1753230000000,0.6232000,0.6240000,0.6230000,0.6236000,8416,1753230059999,5248.3445000,49,6883,4292.8706000,0
1753230060000,0.6234000,0.6237000,0.6230000,0.6236000,11730,1753230119999,7311.7157000,52,4930,3072.9493000,0
1753230120000,0.6237000,0.6239000,0.6228000,0.6236000,24390,1753230179999,15205.7093000,87,11110,6927.4452000,0
1753230180000,0.6238000,0.6244000,0.6234000,0.6244000,8317,1753230239999,5187.9442000,56,4968,3099.1160000,0
1753230240000,0.6244000,0.6270000,0.6235000,0.6270000,63801,1753230299999,39875.1247000,238,44015,27507.6108000,0
1753230300000,0.6271000,0.6273000,0.6248000,0.6249000,66281,1753230359999,41486.6787000,190,13002,8141.3605000,0
1753230360000,0.6247000,0.6250000,0.6230000,0.6231000,21386,1753230419999,13353.5515000,109,11197,6992.3357000,0
1753230420000,0.6231000,0.6234000,0.6209000,0.6212000,141173,1753230479999,87756.2346000,243,81456,50600.3279000,0
