open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1754352000000,0.210310,0.210470,0.210290,0.210350,3955288,1754352059999,832010.174030,1923,1795447,377655.961240,0
1754352060000,0.210360,0.210550,0.210130,0.210170,7442718,1754352119999,1565314.201350,1613,2028857,426941.986940,0
1754352120000,0.210160,0.210340,0.209950,0.209980,10981832,1754352179999,2308154.672930,1687,2506787,527021.138820,0
1754352180000,0.209970,0.209990,0.209540,0.209700,10522528,1754352239999,2206847.794660,2482,4415837,926117.197150,0
1754352240000,0.209700,0.209760,0.209460,0.209590,4568019,1754352299999,957314.448980,1324,1999904,419069.785380,0
1754352300000,0.209590,0.209710,0.209460,0.209590,3978380,1754352359999,833860.985530,1260,1819281,381353.179720,0
1754352360000,0.209600,0.209810,0.209580,0.209680,4338578,1754352419999,909732.488110,1055,1828034,383385.003090,0
1754352420000,0.209690,0.209690,0.209440,0.209470,3887018,1754352479999,814574.793080,1145,1224655,256645.799530,0
1754352480000,0.209470,0.209510,0.209280,0.209500,4943910,1754352539999,1035170.090160,1360,1805396,378042.627510,0
1754352540000,0.209510,0.209590,0.209380,0.209430,3803291,1754352599999,796709.605800,1205,1504069,315096.092830,0
1754352600000,0.209430,0.209550,0.209250,0.209330,4535648,1754352659999,949744.760460,1307,1228199,257210.378230,0
1754352660000,0.209320,0.209700,0.209320,0.209700,2922851,1754352719999,612346.966630,1016,1152322,241405.918900,0
1754352720000,0.209690,0.209800,0.209480,0.209710,5851297,1754352779999,1226934.514700,1453,3110417,652262.220810,0
1754352780000,0.209700,0.209800,0.209630,0.209660,4026047,1754352839999,844342.457060,964,868312,182122.286110,0
1754352840000,0.209650,0.209850,0.209600,0.209750,3587505,1754352899999,752473.323630,916,2748336,576475.061670,0
1754352900000,0.209750,0.209980,0.209550,0.209570,2941013,1754352959999,616870.034520,1838,1243715,260857.930950,0
1754352960000,0.209570,0.209570,0.209310,0.209310,2240095,1754353019999,469251.206340,970,664714,139241.657720,0
1754353020000,0.209320,0.209450,0.209150,0.209150,4291111,1754353079999,898071.364800,1171,1248443,261289.460850,0
1754353080000,0.209160,0.209560,0.209160,0.209450,2152164,1754353139999,450724.576800,856,853948,178770.637170,0
1754353140000,0.209460,0.209500,0.209330,0.209410,2050308,1754353199999,429366.383410,819,988565,207012.094060,0
1754353200000,0.209400,0.209430,0.209250,0.209370,5729666,1754353259999,1199389.179550,925,3965423,830092.481920,0
1754353260000,0.209370,0.209380,0.209180,0.209300,4215760,1754353319999,882219.432670,1156,1729839,362001.666440,0
1754353320000,0.209300,0.209540,0.209280,0.209500,1941465,1754353379999,406632.234950,940,1334955,279592.620180,0
1754353380000,0.209500,0.209920,0.209480,0.209910,3135323,1754353439999,657585.124890,1100,2132405,447248.695570,0
1754353440000,0.209900,0.209900,0.209640,0.209820,5425261,1754353499999,1137993.428040,1315,1513513,317433.264790,0
1754353500000,0.209810,0.209810,0.209500,0.209500,5420772,1754353559999,1136236.339530,1197,686431,143916.733520,0
1754353560000,0.209490,0.209540,0.209260,0.209400,3383166,1754353619999,708497.769910,1010,1185265,248156.068940,0
1754353620000,0.209390,0.209790,0.209390,0.209750,1540592,1754353679999,322876.368280,763,891130,186746.297750,0
1754353680000,0.209740,0.209750,0.209610,0.209630,1193126,1754353739999,250149.886440,557,446159,93544.182990,0
1754353740000,0.209620,0.209630,0.209440,0.209480,3337908,1754353799999,699447.366530,673,1891879,396469.918900,0
1754353800000,0.209490,0.209840,0.209490,0.209820,3070115,1754353859999,643826.419190,1780,2155789,452106.284040,0
1754353860000,0.209830,0.210500,0.209830,0.210420,27726999,1754353919999,5827211.258980,5121,18670864,3924851.167380,0
1754353920000,0.210420,0.210970,0.210280,0.210870,8147474,1754353979999,1715787.376580,2261,4634100,976088.422240,0
1754353980000,0.210870,0.210870,0.210550,0.210780,5286529,1754354039999,1113952.766590,1484,2095040,441446.988480,0
1754354040000,0.210780,0.210920,0.210720,0.210920,2652549,1754354099999,559129.786390,842,1583161,333734.017060,0
1754354100000,0.210920,0.210960,0.210720,0.210770,6026912,1754354159999,1270474.015160,1222,2976349,627425.477000,0
1754354160000,0.210770,0.210970,0.210730,0.210900,2963041,1754354219999,624730.888900,1106,1605252,338433.886110,0
1754354220000,0.210890,0.210910,0.210540,0.210560,6499617,1754354279999,1369376.394230,1365,3599093,758155.932660,0
1754354280000,0.210560,0.210850,0.210540,0.210640,3967611,1754354339999,835790.300320,1083,1315207,277052.714120,0
1754354340000,0.210650,0.210680,0.210340,0.210450,5683076,1754354399999,1196285.132010,1363,1529167,321866.558960,0
1754354400000,0.210450,0.210590,0.210340,0.210380,2775139,1754354459999,584095.533860,1226,1168873,246035.524130,0
1754354460000,0.210380,0.210470,0.210210,0.210470,4383431,1754354519999,921969.408100,1394,2598588,546597.363870,0
1754354520000,0.210460,0.210580,0.210230,0.210570,2286266,1754354579999,481035.013900,1248,1887207,397089.125680,0
1754354580000,0.210570,0.210690,0.210430,0.210660,1337852,1754354639999,281704.320150,825,889281,187257.475260,0
1754354640000,0.210670,0.210670,0.210470,0.210500,917058,1754354699999,193093.028120,747,450945,94938.667410,0
1754354700000,0.210500,0.210520,0.210160,0.210170,3401263,1754354759999,715485.667100,2038,407533,85727.052650,0
1754354760000,0.210160,0.210160,0.209800,0.209850,5650735,1754354819999,1186557.260750,1765,1195775,251011.545090,0
1754354820000,0.209850,0.209970,0.209770,0.209950,3160682,1754354879999,663302.811690,1128,845136,177367.261330,0
1754354880000,0.209950,0.210260,0.209940,0.210180,2643352,1754354939999,555450.440480,1180,1494020,313920.582510,0
1754354940000,0.210190,0.210200,0.209930,0.210010,1521734,1754354999999,319662.950560,812,747308,156986.744790,0
1754355000000,0.210020,0.210290,0.209980,0.209980,4835050,1754355059999,1016290.443850,1329,2794704,587416.648650,0
1754355060000,0.209980,0.209980,0.209780,0.209880,3995718,1754355119999,838648.556000,1056,1717182,360397.838700,0
1754355120000,0.209870,0.209870,0.209550,0.209560,6322674,1754355179999,1325941.352880,1477,1032256,216475.183980,0
1754355180000,0.209560,0.209600,0.209290,0.209290,5464479,1754355239999,1144449.483600,1509,2438471,510697.113270,0
