open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1756598400000,0.2872000,0.2873000,0.2871000,0.2872000,77885,1756598459999,22368.9824000,94,44504,12782.0063000,0
1756598460000,0.2873000,0.2874000,0.2872000,0.2873000,111488,1756598519999,32027.7582000,100,82778,23782.1560000,0
1756598520000,0.2874000,0.2877000,0.2874000,0.2876000,74065,1756598579999,21293.2407000,154,67700,19463.3323000,0
1756598580000,0.2876000,0.2878000,0.2874000,0.2874000,141789,1756598639999,40788.3453000,162,55739,16037.2126000,0
1756598640000,0.2875000,0.2876000,0.2873000,0.2874000,129735,1756598699999,37291.7167000,151,61774,17756.6683000,0
1756598700000,0.2875000,0.2877000,0.2874000,0.2877000,55105,1756598759999,15845.7109000,83,46166,13275.9052000,0
1756598760000,0.2876000,0.2878000,0.2875000,0.2878000,60519,1756598819999,17406.7503000,110,16221,4665.7918000,0
1756598820000,0.2877000,0.2879000,0.2876000,0.2878000,75793,1756598879999,21810.0020000,97,46835,13479.0403000,0
1756598880000,0.2878000,0.2881000,0.2878000,0.2879000,82161,1756598939999,23658.2824000,143,53803,15494.8056000,0
1756598940000,0.2880000,0.2880000,0.2878000,0.2879000,50457,1756598999999,14526.3352000,58,16120,4641.0670000,0
1756599000000,0.2879000,0.2881000,0.2878000,0.2880000,75403,1756599059999,21711.0455000,139,49602,14284.2086000,0
1756599060000,0.2880000,0.2881000,0.2879000,0.2880000,51757,1756599119999,14905.1244000,83,7684,2213.0075000,0
1756599120000,0.2880000,0.2884000,0.2880000,0.2882000,134614,1756599179999,38798.2012000,142,93410,26920.8717000,0
1756599180000,0.2881000,0.2881000,0.2879000,0.2879000,127762,1756599239999,36792.1999000,100,42078,12118.6076000,0
1756599240000,0.2878000,0.2881000,0.2878000,0.2881000,132799,1756599299999,38242.6291000,84,120889,34812.7727000,0
1756599300000,0.2881000,0.2881000,0.2878000,0.2879000,71210,1756599359999,20505.4912000,85,25120,7233.6072000,0
1756599360000,0.2879000,0.2884000,0.2878000,0.2883000,55048,1756599419999,15858.7194000,109,53104,15298.5345000,0
1756599420000,0.2883000,0.2884000,0.2881000,0.2882000,68537,1756599479999,19754.1449000,71,19962,5754.6337000,0
1756599480000,0.2882000,0.2885000,0.2882000,0.2883000,35229,1756599539999,10159.5426000,109,18849,5436.0081000,0
1756599540000,0.2882000,0.2882000,0.2879000,0.2879000,94949,1756599599999,27347.3673000,84,15821,4556.7647000,0
1756599600000,0.2878000,0.2880000,0.2877000,0.2879000,48558,1756599659999,13976.1624000,94,21979,6327.1813000,0
1756599660000,0.2879000,0.2881000,0.2877000,0.2880000,42209,1756599719999,12153.0094000,105,18034,5193.4997000,0
1756599720000,0.2881000,0.2883000,0.2881000,0.2882000,64807,1756599779999,18673.1484000,125,63266,18229.0753000,0
1756599780000,0.2883000,0.2883000,0.2880000,0.2880000,48177,1756599839999,13883.0813000,64,12846,3702.0413000,0
1756599840000,0.2880000,0.2880000,0.2875000,0.2875000,262485,1756599899999,75534.3076000,144,64636,18601.4366000,0
1756599900000,0.2875000,0.2876000,0.2872000,0.2872000,40022,1756599959999,11501.8357000,90,5029,1444.9693000,0
1756599960000,0.2873000,0.2876000,0.2872000,0.2874000,38186,1756600019999,10975.4763000,131,15644,4496.4403000,0
1756600020000,0.2874000,0.2878000,0.2874000,0.2878000,194928,1756600079999,56048.6207000,124,137402,39514.6072000,0
1756600080000,0.2878000,0.2881000,0.2877000,0.2880000,119153,1756600139999,34301.9234000,90,7641,2200.5768000,0
1756600140000,0.2879000,0.2881000,0.2878000,0.2880000,31981,1756600199999,9209.3271000,71,19334,5568.2490000,0
1756600200000,0.2881000,0.2882000,0.2879000,0.2881000,81194,1756600259999,23385.4456000,110,70033,20170.7872000,0
1756600260000,0.2880000,0.2883000,0.2877000,0.2877000,54664,1756600319999,15748.1985000,156,30825,8882.3877000,0
1756600320000,0.2877000,0.2884000,0.2875000,0.2880000,228465,1756600379999,65791.5016000,276,191199,55056.5259000,0
1756600380000,0.2879000,0.2879000,0.2875000,0.2879000,119878,1756600439999,34491.2247000,155,67067,19299.0286000,0
1756600440000,0.2879000,0.2882000,0.2878000,0.2881000,48705,1756600499999,14026.1104000,107,20255,5833.2963000,0
1756600500000,0.2880000,0.2881000,0.2877000,0.2880000,33655,1756600559999,9690.3992000,95,23807,6855.4306000,0
1756600560000,0.2880000,0.2884000,0.2880000,0.2883000,60602,1756600619999,17466.8297000,137,24775,7140.5459000,0
1756600620000,0.2883000,0.2885000,0.2883000,0.2884000,79643,1756600679999,22969.0331000,116,50297,14506.7194000,0
1756600680000,0.2885000,0.2891000,0.2885000,0.2888000,378899,1756600739999,109424.1507000,267,306609,88539.8253000,0
1756600740000,0.2888000,0.2890000,0.2887000,0.2889000,349635,1756600799999,100999.4287000,119,199057,57499.7275000,0
1756600800000,0.2888000,0.2890000,0.2886000,0.2890000,268144,1756600859999,77437.2624000,157,149783,43266.7438000,0
1756600860000,0.2889000,0.2891000,0.2886000,0.2891000,236260,1756600919999,68235.9834000,162,141772,40947.5561000,0
1756600920000,0.2891000,0.2894000,0.2889000,0.2894000,52107,1756600979999,15066.6240000,162,26392,7633.9384000,0
1756600980000,0.2893000,0.2894000,0.2888000,0.2894000,139076,1756601039999,40215.3636000,152,88187,25502.3594000,0
1756601040000,0.2893000,0.2896000,0.2891000,0.2895000,264811,1756601099999,76634.7181000,187,193186,55911.9994000,0
1756601100000,0.2894000,0.2899000,0.2893000,0.2898000,294779,1756601159999,85364.8660000,243,133285,38598.6917000,0
1756601160000,0.2899000,0.2904000,0.2899000,0.2903000,548425,1756601219999,159087.4495000,254,427682,124039.7478000,0
1756601220000,0.2903000,0.2905000,0.2901000,0.2902000,232997,1756601279999,67635.4857000,197,116013,33677.3569000,0
1756601280000,0.2903000,0.2907000,0.2901000,0.2901000,503842,1756601339999,146345.3523000,332,286414,83204.0457000,0
1756601340000,0.2900000,0.2904000,0.2896000,0.2902000,347234,1756601399999,100685.0218000,212,181927,52753.0385000,0
1756601400000,0.2901000,0.2902000,0.2898000,0.2901000,263443,1756601459999,76396.8748000,170,132233,38355.1193000,0
1756601460000,0.2900000,0.2900000,0.2896000,0.2899000,156942,1756601519999,45483.7929000,157,75562,21897.3850000,0
1756601520000,0.2900000,0.2904000,0.2898000,0.2904000,78536,1756601579999,22775.0526000,112,59465,17246.7174000,0
1756601580000,0.2903000,0.2906000,0.2902000,0.2904000,267056,1756601639999,77545.7972000,194,141656,41143.4865000,0
1756601640000,0.2905000,0.2908000,0.2903000,0.2907000,140483,1756601699999,40833.5452000,153,96824,28147.1676000,0
1756601700000,0.2906000,0.2908000,0.2904000,0.2907000,153530,1756601759999,44624.8019000,130,109539,31841.0336000,0
1756601760000,0.2908000,0.2912000,0.2908000,0.2912000,398887,1756601819999,116097.8169000,255,280968,81781.9670000,0
1756601820000,0.2913000,0.2914000,0.2908000,0.2909000,430666,1756601879999,125401.3771000,312,283278,82498.0016000,0
1756601880000,0.2909000,0.2910000,0.2907000,0.2910000,186842,1756601939999,54351.7799000,113,95912,27902.5064000,0
1756601940000,0.2909000,0.2913000,0.2909000,0.2912000,150355,1756601999999,43763.2177000,115,119791,34871.6926000,0
1756602000000,0.2912000,0.2914000,0.2907000,0.2907000,361867,1756602059999,105328.5523000,316,211455,61533.5935000,0
1756602060000,0.2907000,0.2908000,0.2903000,0.2908000,371673,1756602119999,107989.1468000,244,155567,45212.2401000,0
1756602120000,0.2907000,0.2910000,0.2904000,0.2908000,359427,1756602179999,104533.4469000,253,209323,60874.6178000,0
1756602180000,0.2909000,0.2909000,0.2904000,0.2906000,350336,1756602239999,101818.4524000,216,92910,26997.3667000,0
1756602240000,0.2905000,0.2909000,0.2905000,0.2907000,207895,1756602299999,60443.3868000,166,170607,49603.7864000,0
1756602300000,0.2906000,0.2909000,0.2906000,0.2907000,242068,1756602359999,70385.4589000,134,105079,30555.1399000,0
1756602360000,0.2907000,0.2910000,0.2905000,0.2908000,156283,1756602419999,45424.0541000,150,105338,30620.2182000,0
1756602420000,0.2909000,0.2909000,0.2907000,0.2907000,120394,1756602479999,35013.5393000,106,73755,21451.2248000,0
1756602480000,0.2906000,0.2909000,0.2905000,0.2908000,154933,1756602539999,45041.8039000,112,89189,25928.7341000,0
1756602540000,0.2907000,0.2908000,0.2905000,0.2908000,174784,1756602599999,50806.9249000,135,83561,24291.4769000,0
1756602600000,0.2908000,0.2910000,0.2907000,0.2909000,190495,1756602659999,55414.7617000,174,174158,50663.9035000,0
1756602660000,0.2909000,0.2909000,0.2905000,0.2906000,226033,1756602719999,65709.8191000,165,93365,27141.3679000,0
1756602720000,0.2906000,0.2906000,0.2903000,0.2905000,98850,1756602779999,28710.2100000,130,35912,10429.5586000,0
1756602780000,0.2905000,0.2905000,0.2904000,0.2905000,32768,1756602839999,9518.4657000,44,26385,7664.8425000,0
1756602840000,0.2904000,0.2905000,0.2902000,0.2905000,99403,1756602899999,28864.4604000,104,65914,19140.8762000,0
1756602900000,0.2905000,0.2908000,0.2905000,0.2906000,114904,1756602959999,33399.0244000,224,94562,27487.9898000,0
1756602960000,0.2905000,0.2908000,0.2903000,0.2905000,92716,1756603019999,26936.5538000,130,78918,22929.3617000,0
1756603020000,0.2906000,0.2908000,0.2904000,0.2907000,85493,1756603079999,24855.8271000,138,47095,13691.1704000,0
1756603080000,0.2907000,0.2909000,0.2906000,0.2909000,111097,1756603139999,32300.9589000,121,68621,19952.6092000,0
1756603140000,0.2908000,0.2909000,0.2906000,0.2906000,139518,1756603199999,40561.1242000,109,81425,23671.0301000,0
1756603200000,0.2906000,0.2911000,0.2906000,0.2911000,95234,1756603259999,27705.1193000,161,88428,25725.1866000,0
1756603260000,0.2911000,0.2912000,0.2910000,0.2911000,123747,1756603319999,36029.3865000,125,113592,33073.6567000,0
1756603320000,0.2911000,0.2912000,0.2909000,0.2911000,114203,1756603379999,33242.4043000,98,61642,17944.5905000,0
1756603380000,0.2912000,0.2915000,0.2911000,0.2915000,159836,1756603439999,46559.7832000,188,127440,37123.8748000,0
1756603440000,0.2914000,0.2916000,0.2913000,0.2915000,106660,1756603499999,31087.2020000,115,72540,21144.5797000,0
1756603500000,0.2916000,0.2916000,0.2912000,0.2913000,357673,1756603559999,104240.2036000,141,220755,64353.3806000,0
1756603560000,0.2912000,0.2915000,0.2912000,0.2913000,140286,1756603619999,40872.3192000,144,133043,38762.3220000,0
1756603620000,0.2913000,0.2914000,0.2911000,0.2913000,120800,1756603679999,35186.1517000,123,48454,14114.0648000,0
1756603680000,0.2913000,0.2917000,0.2913000,0.2917000,135321,1756603739999,39449.0353000,153,126297,36818.7320000,0
1756603740000,0.2916000,0.2918000,0.2916000,0.2917000,59201,1756603799999,17270.5839000,224,42808,12488.9529000,0
1756603800000,0.2916000,0.2917000,0.2911000,0.2913000,439755,1756603859999,128083.3631000,508,110334,32130.3042000,0
1756603860000,0.2913000,0.2918000,0.2912000,0.2918000,76473,1756603919999,22295.6170000,113,59512,17353.3963000,0
1756603920000,0.2918000,0.2922000,0.2917000,0.2921000,291111,1756603979999,84988.7209000,258,216962,63338.4962000,0
1756603980000,0.2921000,0.2925000,0.2919000,0.2922000,289195,1756604039999,84546.8125000,246,230007,67248.0159000,0
1756604040000,0.2921000,0.2923000,0.2918000,0.2921000,219694,1756604099999,64173.0792000,146,113091,33027.3687000,0
1756604100000,0.2921000,0.2923000,0.2919000,0.2919000,151405,1756604159999,44234.5222000,129,82141,24001.8571000,0
1756604160000,0.2919000,0.2923000,0.2918000,0.2921000,155740,1756604219999,45477.5575000,153,88024,25709.7815000,0
1756604220000,0.2922000,0.2922000,0.2918000,0.2919000,59137,1756604279999,17265.5874000,89,44812,13081.8385000,0
1756604280000,0.2919000,0.2919000,0.2916000,0.2918000,76410,1756604339999,22289.6370000,119,49193,14350.9148000,0
1756604340000,0.2917000,0.2917000,0.2915000,0.2915000,194142,1756604399999,56601.4839000,97,167720,48897.3061000,0
1756604400000,0.2915000,0.2919000,0.2915000,0.2917000,122492,1756604459999,35737.1692000,168,97481,28441.1546000,0
1756604460000,0.2917000,0.2920000,0.2916000,0.2920000,76423,1756604519999,22295.5870000,155,56174,16390.4122000,0
1756604520000,0.2919000,0.2921000,0.2918000,0.2919000,73798,1756604579999,21546.7643000,156,56488,16493.6849000,0
1756604580000,0.2918000,0.2919000,0.2917000,0.2919000,73106,1756604639999,21336.7720000,106,62583,18266.1717000,0
1756604640000,0.2919000,0.2921000,0.2919000,0.2921000,94292,1756604699999,27533.0791000,129,74260,21685.1398000,0
1756604700000,0.2920000,0.2922000,0.2919000,0.2920000,160902,1756604759999,46988.7849000,183,122277,35709.4730000,0
1756604760000,0.2919000,0.2921000,0.2918000,0.2921000,90325,1756604819999,26375.9508000,90,83985,24525.1444000,0
1756604820000,0.2920000,0.2926000,0.2920000,0.2926000,293898,1756604879999,85937.9703000,205,260306,76119.3280000,0
1756604880000,0.2926000,0.2927000,0.2924000,0.2926000,317317,1756604939999,92844.2855000,163,169439,49579.9039000,0
1756604940000,0.2925000,0.2927000,0.2922000,0.2926000,137329,1756604999999,40164.0601000,128,108774,31816.5982000,0
1756605000000,0.2927000,0.2928000,0.2926000,0.2927000,191875,1756605059999,56168.2482000,155,171307,50148.1324000,0
1756605060000,0.2928000,0.2929000,0.2926000,0.2929000,107156,1756605119999,31376.0935000,133,99736,29204.0831000,0
1756605120000,0.2929000,0.2931000,0.2928000,0.2930000,198325,1756605179999,58105.5856000,177,142931,41877.6832000,0
1756605180000,0.2929000,0.2932000,0.2928000,0.2932000,230630,1756605239999,67581.4635000,246,110155,32278.4294000,0
1756605240000,0.2931000,0.2933000,0.2931000,0.2933000,168658,1756605299999,49450.9772000,137,122819,36013.5933000,0
1756605300000,0.2932000,0.2935000,0.2931000,0.2934000,209659,1756605359999,61501.8289000,200,140802,41302.9282000,0
1756605360000,0.2934000,0.2936000,0.2933000,0.2934000,200608,1756605419999,58873.9598000,145,190278,55843.0055000,0
1756605420000,0.2934000,0.2938000,0.2934000,0.2937000,352588,1756605479999,103529.4266000,247,205883,60445.3401000,0
1756605480000,0.2938000,0.2938000,0.2935000,0.2935000,300230,1756605539999,88158.8492000,146,139750,41038.2050000,0
1756605540000,0.2934000,0.2937000,0.2934000,0.2937000,179811,1756605599999,52784.0773000,126,143735,42198.4506000,0
1756605600000,0.2936000,0.2940000,0.2935000,0.2937000,642820,1756605659999,188893.1771000,386,511393,150279.0980000,0
1756605660000,0.2937000,0.2940000,0.2937000,0.2938000,176222,1756605719999,51788.9202000,233,98243,28873.4286000,0
1756605720000,0.2938000,0.2939000,0.2934000,0.2934000,307962,1756605779999,90442.5610000,217,206702,60714.6587000,0
1756605780000,0.2935000,0.2937000,0.2933000,0.2935000,524446,1756605839999,153923.9872000,263,375601,110252.4038000,0
1756605840000,0.2935000,0.2936000,0.2935000,0.2935000,114181,1756605899999,33520.2069000,141,86136,25288.9994000,0
1756605900000,0.2935000,0.2936000,0.2933000,0.2936000,183445,1756605959999,53835.2473000,197,126641,37167.7753000,0
1756605960000,0.2936000,0.2937000,0.2934000,0.2934000,154594,1756606019999,45386.3506000,181,101331,29753.1482000,0
1756606020000,0.2934000,0.2936000,0.2933000,0.2935000,147090,1756606079999,43169.3104000,157,103750,30452.5937000,0
1756606080000,0.2936000,0.2940000,0.2936000,0.2939000,301153,1756606139999,88486.1054000,263,201606,59233.5918000,0
1756606140000,0.2939000,0.2939000,0.2937000,0.2939000,106880,1756606199999,31404.4500000,128,76593,22506.5990000,0
1756606200000,0.2939000,0.2940000,0.2937000,0.2937000,157604,1756606259999,46312.3266000,157,86731,25485.2261000,0
1756606260000,0.2937000,0.2938000,0.2936000,0.2936000,106390,1756606319999,31242.8021000,180,57256,16816.0913000,0
1756606320000,0.2937000,0.2938000,0.2935000,0.2938000,96775,1756606379999,28426.1889000,224,72566,21317.2868000,0
1756606380000,0.2938000,0.2940000,0.2937000,0.2939000,244986,1756606439999,71991.4195000,203,73251,21528.6263000,0
1756606440000,0.2938000,0.2939000,0.2935000,0.2936000,134515,1756606499999,39496.6788000,105,55237,16219.4465000,0
1756606500000,0.2936000,0.2938000,0.2935000,0.2935000,176163,1756606559999,51720.8557000,144,83908,24636.5641000,0
1756606560000,0.2934000,0.2940000,0.2934000,0.2939000,156828,1756606619999,46059.7068000,163,152017,44648.0103000,0
1756606620000,0.2940000,0.2941000,0.2938000,0.2939000,146715,1756606679999,43131.0776000,198,67797,19932.2145000,0
1756606680000,0.2939000,0.2939000,0.2937000,0.2938000,152772,1756606739999,44887.2900000,115,72316,21250.1046000,0
1756606740000,0.2937000,0.2937000,0.2935000,0.2936000,159441,1756606799999,46815.4781000,130,104831,30782.0313000,0
1756606800000,0.2936000,0.2936000,0.2933000,0.2935000,148985,1756606859999,43714.8806000,114,71563,21000.0147000,0
1756606860000,0.2935000,0.2935000,0.2930000,0.2930000,282233,1756606919999,82761.0263000,157,44460,13035.8357000,0
1756606920000,0.2931000,0.2937000,0.2931000,0.2937000,437548,1756606979999,128350.5209000,287,416635,122217.5598000,0
1756606980000,0.2937000,0.2938000,0.2936000,0.2937000,204520,1756607039999,60067.6142000,112,110721,32519.0364000,0
1756607040000,0.2937000,0.2938000,0.2935000,0.2936000,191497,1756607099999,56231.6368000,118,60189,17673.8178000,0
1756607100000,0.2935000,0.2936000,0.2933000,0.2934000,187397,1756607159999,55001.7180000,140,52253,15338.8384000,0
1756607160000,0.2933000,0.2934000,0.2932000,0.2933000,74585,1756607219999,21881.4593000,84,62378,18301.1707000,0
1756607220000,0.2933000,0.2935000,0.2933000,0.2934000,76234,1756607279999,22365.9278000,92,59977,17597.0050000,0
1756607280000,0.2934000,0.2937000,0.2933000,0.2937000,87271,1756607339999,25612.6895000,175,80169,23529.6729000,0
1756607340000,0.2936000,0.2938000,0.2936000,0.2938000,86146,1756607399999,25302.4264000,148,82360,24190.8568000,0
1756607400000,0.2938000,0.2938000,0.2935000,0.2935000,210679,1756607459999,61865.3912000,188,101526,29812.1088000,0
1756607460000,0.2936000,0.2937000,0.2932000,0.2933000,184329,1756607519999,54091.4834000,151,45559,13377.7112000,0
1756607520000,0.2932000,0.2934000,0.2931000,0.2933000,146769,1756607579999,43041.1545000,171,123649,36262.4423000,0
1756607580000,0.2934000,0.2937000,0.2933000,0.2936000,164541,1756607639999,48290.4305000,282,74112,21751.2966000,0
1756607640000,0.2936000,0.2936000,0.2934000,0.2935000,89620,1756607699999,26307.6444000,160,53474,15699.1957000,0
1756607700000,0.2935000,0.2940000,0.2935000,0.2939000,98815,1756607759999,29030.1772000,196,54105,15897.4090000,0
1756607760000,0.2939000,0.2940000,0.2937000,0.2938000,143050,1756607819999,42040.8698000,213,45871,13481.4582000,0
1756607820000,0.2937000,0.2940000,0.2935000,0.2939000,379384,1756607879999,111420.1409000,262,221647,65095.0437000,0
1756607880000,0.2939000,0.2939000,0.2936000,0.2938000,123682,1756607939999,36331.5023000,134,30714,9020.9497000,0
1756607940000,0.2938000,0.2940000,0.2938000,0.2938000,104591,1756607999999,30733.2398000,129,42502,12489.6788000,0
1756608000000,0.2939000,0.2940000,0.2936000,0.2938000,120795,1756608059999,35492.3664000,166,70830,20813.4924000,0
1756608060000,0.2939000,0.2939000,0.2937000,0.2938000,96684,1756608119999,28402.8096000,185,62635,18400.8689000,0
1756608120000,0.2938000,0.2938000,0.2935000,0.2936000,86398,1756608179999,25363.4768000,156,17516,5143.5019000,0
1756608180000,0.2935000,0.2936000,0.2933000,0.2933000,155749,1756608239999,45707.0527000,149,49996,14673.0248000,0
1756608240000,0.2932000,0.2933000,0.2931000,0.2932000,112437,1756608299999,32965.6319000,132,26171,7673.7214000,0
1756608300000,0.2931000,0.2932000,0.2930000,0.2931000,130350,1756608359999,38199.4402000,151,12414,3638.6268000,0
1756608360000,0.2931000,0.2935000,0.2931000,0.2934000,96420,1756608419999,28279.2795000,155,82540,24206.9140000,0
1756608420000,0.2934000,0.2936000,0.2934000,0.2934000,62661,1756608479999,18389.7367000,125,35238,10342.6708000,0
1756608480000,0.2934000,0.2934000,0.2931000,0.2932000,36262,1756608539999,10632.8304000,119,16250,4765.5302000,0
1756608540000,0.2932000,0.2936000,0.2931000,0.2935000,35550,1756608599999,10426.8561000,118,23137,6787.0398000,0
1756608600000,0.2935000,0.2936000,0.2934000,0.2935000,43777,1756608659999,12848.8057000,130,36106,10597.3720000,0
1756608660000,0.2935000,0.2935000,0.2933000,0.2934000,115532,1756608719999,33900.7578000,165,50210,14735.3510000,0
1756608720000,0.2933000,0.2934000,0.2931000,0.2932000,53437,1756608779999,15669.8225000,90,4808,1409.9101000,0
