open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1755561600000,35.29,35.29,35.21,35.27,424.802,1755561659999,14971.70850,142,107.340,3783.59521,0
1755561660000,35.26,35.28,35.25,35.28,92.906,1755561719999,3276.37468,57,72.472,2555.91926,0
1755561720000,35.27,35.28,35.25,35.28,89.080,1755561779999,3141.48293,77,65.593,2313.32908,0
1755561780000,35.29,35.34,35.29,35.33,169.825,1755561839999,5999.12494,82,114.505,4045.16006,0
1755561840000,35.32,35.33,35.31,35.33,58.165,1755561899999,2054.41025,39,56.538,1996.95724,0
1755561900000,35.33,35.34,35.32,35.32,69.910,1755561959999,2469.79502,50,27.922,986.50291,0
1755561960000,35.33,35.33,35.32,35.33,18.123,1755562019999,640.24702,32,14.266,504.01778,0
1755562020000,35.33,35.40,35.33,35.39,124.823,1755562079999,4412.71109,83,113.860,4024.75110,0
1755562080000,35.39,35.41,35.38,35.40,221.812,1755562139999,7850.48577,96,89.275,3159.53290,0
1755562140000,35.40,35.41,35.39,35.40,38.447,1755562199999,1361.04838,49,27.161,961.57697,0
1755562200000,35.40,35.41,35.37,35.40,223.535,1755562259999,7910.29134,112,92.719,3281.34589,0
1755562260000,35.41,35.41,35.38,35.40,118.374,1755562319999,4189.47265,55,27.671,979.34794,0
1755562320000,35.40,35.43,35.40,35.42,68.108,1755562379999,2411.84507,56,63.550,2250.40297,0
1755562380000,35.43,35.43,35.40,35.40,140.933,1755562439999,4991.49477,47,4.817,170.62356,0
1755562440000,35.41,35.41,35.39,35.39,48.802,1755562499999,1727.26972,35,3.636,128.70096,0
1755562500000,35.38,35.38,35.34,35.35,65.785,1755562559999,2325.87859,43,6.573,232.38225,0
1755562560000,35.34,35.38,35.34,35.38,69.451,1755562619999,2455.56090,64,66.665,2357.04464,0
1755562620000,35.38,35.39,35.37,35.39,24.264,1755562679999,858.36789,54,17.117,605.57850,0
1755562680000,35.39,35.39,35.38,35.39,18.483,1755562739999,653.95270,33,5.517,195.21562,0
1755562740000,35.39,35.42,35.39,35.41,25.604,1755562799999,906.27443,52,14.790,523.55736,0
1755562800000,35.40,35.41,35.40,35.40,30.975,1755562859999,1096.78203,31,26.703,945.55323,0
1755562860000,35.41,35.42,35.39,35.40,35.993,1755562919999,1274.36722,50,17.185,608.49364,0
1755562920000,35.39,35.41,35.29,35.29,232.994,1755562979999,8237.40280,91,9.505,336.35345,0
1755562980000,35.29,35.33,35.19,35.32,690.176,1755563039999,24319.04092,200,207.349,7307.49716,0
1755563040000,35.31,35.32,35.30,35.32,14.810,1755563099999,522.90897,38,9.121,322.07673,0
1755563100000,35.32,35.33,35.25,35.25,180.585,1755563159999,6369.66080,73,6.927,244.55714,0
1755563160000,35.25,35.28,35.23,35.25,37.040,1755563219999,1305.71681,57,17.666,622.82611,0
1755563220000,35.24,35.28,35.24,35.28,27.056,1755563279999,954.00151,35,26.735,942.68798,0
1755563280000,35.28,35.31,35.28,35.28,70.926,1755563339999,2502.84762,55,35.089,1238.35034,0
1755563340000,35.28,35.28,35.25,35.25,108.407,1755563399999,3823.44677,34,6.460,227.79694,0
1755563400000,35.24,35.26,35.23,35.24,230.779,1755563459999,8134.54233,90,168.099,5925.42512,0
1755563460000,35.22,35.24,35.05,35.09,1025.000,1755563519999,36005.02157,247,288.630,10137.87511,0
1755563520000,35.07,35.23,35.06,35.21,457.708,1755563579999,16072.42348,158,434.424,15255.12882,0
1755563580000,35.21,35.22,35.18,35.18,346.043,1755563639999,12183.59815,98,187.840,6613.90155,0
1755563640000,35.20,35.36,35.20,35.36,264.616,1755563699999,9337.37682,185,233.577,8243.71893,0
1755563700000,35.35,35.45,35.35,35.41,821.683,1755563759999,29094.80574,177,481.793,17060.45814,0
1755563760000,35.44,35.46,35.40,35.41,90.414,1755563819999,3202.82256,63,28.941,1025.50050,0
1755563820000,35.41,35.45,35.39,35.42,134.228,1755563879999,4754.51095,75,107.940,3823.45493,0
1755563880000,35.44,35.44,35.41,35.41,50.500,1755563939999,1788.62114,43,8.748,310.00610,0
1755563940000,35.40,35.41,35.38,35.38,50.334,1755563999999,1781.35900,53,19.356,685.18504,0
1755564000000,35.39,35.44,35.39,35.44,66.590,1755564059999,2358.82781,76,37.299,1321.33865,0
1755564060000,35.43,35.43,35.38,35.42,265.513,1755564119999,9400.32124,83,132.514,4690.40668,0
1755564120000,35.42,35.46,35.42,35.44,273.921,1755564179999,9710.95237,68,87.756,3110.89173,0
1755564180000,35.44,35.44,35.38,35.39,25.718,1755564239999,910.71604,36,6.560,232.32464,0
1755564240000,35.39,35.47,35.39,35.42,120.981,1755564299999,4285.48632,98,90.894,3219.06407,0
1755564300000,35.42,35.53,35.42,35.53,25.537,1755564359999,905.69906,66,24.155,856.66060,0
1755564360000,35.54,35.57,35.51,35.52,238.052,1755564419999,8459.38765,125,75.930,2699.41350,0
1755564420000,35.53,35.61,35.52,35.59,184.181,1755564479999,6548.12322,108,55.019,1957.10172,0
1755564480000,35.60,35.64,35.59,35.59,166.998,1755564539999,5947.31846,114,82.226,2928.58764,0
1755564540000,35.59,35.60,35.58,35.60,48.971,1755564599999,1742.79169,42,38.937,1385.73552,0
1755564600000,35.60,35.69,35.59,35.66,573.385,1755564659999,20444.57273,155,552.368,19695.53104,0
1755564660000,35.65,35.69,35.64,35.69,114.330,1755564719999,4077.64025,75,89.557,3194.21583,0
1755564720000,35.69,35.71,35.63,35.71,106.139,1755564779999,3786.19240,76,62.400,2227.06103,0
1755564780000,35.72,35.75,35.69,35.75,246.080,1755564839999,8788.99925,87,136.011,4859.27810,0
1755564840000,35.74,35.75,35.71,35.71,97.879,1755564899999,3496.73095,84,39.543,1412.59811,0
1755564900000,35.70,35.72,35.68,35.72,62.763,1755564959999,2240.36450,50,46.245,1650.75439,0
1755564960000,35.72,35.73,35.71,35.72,39.343,1755565019999,1405.32295,51,19.284,688.84958,0
1755565020000,35.73,35.75,35.71,35.73,84.290,1755565079999,3012.05521,59,76.047,2717.61447,0
1755565080000,35.72,35.72,35.66,35.70,284.822,1755565139999,10165.00698,70,239.561,8550.48722,0
1755565140000,35.70,35.74,35.70,35.73,74.352,1755565199999,2655.54714,56,40.802,1457.22828,0
1755565200000,35.73,35.76,35.70,35.72,170.509,1755565259999,6090.16967,64,27.882,996.17957,0
1755565260000,35.72,35.76,35.72,35.72,64.544,1755565319999,2306.24087,63,48.904,1747.27853,0
1755565320000,35.73,35.76,35.73,35.76,108.314,1755565379999,3871.66121,66,52.333,1870.59738,0
1755565380000,35.76,35.80,35.76,35.80,92.095,1755565439999,3294.75226,55,70.616,2526.44545,0
1755565440000,35.80,35.86,35.80,35.84,162.383,1755565499999,5817.85074,87,141.623,5073.66435,0
1755565500000,35.84,35.87,35.82,35.84,171.569,1755565559999,6150.66860,110,88.372,3168.26966,0
1755565560000,35.86,35.86,35.80,35.83,68.358,1755565619999,2449.14576,80,25.376,909.02322,0
1755565620000,35.82,35.85,35.82,35.85,51.804,1755565679999,1856.56250,57,21.131,757.31258,0
1755565680000,35.84,35.84,35.80,35.81,58.474,1755565739999,2094.67361,64,4.090,146.49264,0
1755565740000,35.80,35.82,35.78,35.79,86.089,1755565799999,3081.77794,62,5.657,202.54346,0
1755565800000,35.78,35.81,35.78,35.80,55.119,1755565859999,1973.02426,60,24.249,867.91113,0
